timestamp,cpu_usage,memory_usage,response_time_ms,disk_io_mbps,network_latency_ms,error_rate_pct,is_anomaly
2024-01-01 00:00:00,48.05,54.92,210.13,31.8,16.67,0.5529,0
2024-01-01 00:01:00,34.65,53.23,235.81,29.57,21.18,0.7697,0
2024-01-01 00:02:00,52.61,62.05,210.93,36.91,21.08,0.0583,0
2024-01-01 00:03:00,54.56,60.62,289.55,34.85,12.75,0.4144,0
2024-01-01 00:04:00,25.69,47.38,257.19,6.11,15.97,0.7487,0
2024-01-01 00:05:00,32.23,67.63,187.7,34.36,5.68,0.5197,0
2024-01-01 00:06:00,46.58,57.91,187.28,21.97,15.5,0.9402,0
2024-01-01 00:07:00,42.19,49.8,218.79,18.63,11.03,0.0272,0
2024-01-01 00:08:00,45.23,68.22,166.48,28.49,14.07,0.0,0
2024-01-01 00:09:00,36.92,63.74,246.65,33.29,6.57,0.7309,0
2024-01-01 00:10:00,54.3,48.63,214.46,16.87,17.02,0.7597,0
2024-01-01 00:11:00,53.33,72.99,210.26,35.64,6.52,0.442,0
2024-01-01 00:12:00,46.26,64.06,227.48,36.11,15.74,0.6201,0
2024-01-01 00:13:00,56.93,58.73,268.91,30.38,8.87,0.7236,0
2024-01-01 00:14:00,50.38,71.55,206.84,23.06,10.75,0.2558,0
2024-01-01 00:15:00,37.16,60.13,195.48,22.16,20.77,0.2879,0
2024-01-01 00:16:00,49.49,58.65,260.35,38.21,17.94,0.5569,0
2024-01-01 00:17:00,36.26,53.61,238.7,17.91,20.75,0.7712,0
2024-01-01 00:18:00,54.69,63.57,187.16,38.52,22.8,0.1502,0
2024-01-01 00:19:00,45.45,62.74,200.21,28.68,11.14,0.4406,0
2024-01-01 00:20:00,44.15,59.07,207.82,29.23,22.49,0.4267,0
2024-01-01 00:21:00,39.24,52.65,2112.69,16.34,124.5,7.4859,1
2024-01-01 00:22:00,58.33,60.03,145.74,28.83,18.73,0.4974,0
2024-01-01 00:23:00,44.61,58.45,138.3,34.91,12.53,0.3362,0
2024-01-01 00:24:00,41.92,48.36,164.5,19.31,10.35,0.8746,0
2024-01-01 00:25:00,42.73,80.27,480.48,33.99,18.07,5.1313,1
2024-01-01 00:26:00,51.62,63.58,174.25,30.71,19.72,0.4124,0
2024-01-01 00:27:00,50.01,38.27,225.39,24.85,19.58,0.0226,0
2024-01-01 00:28:00,50.53,60.74,193.24,36.84,16.07,0.2859,0
2024-01-01 00:29:00,50.76,55.29,207.86,12.38,15.66,0.6548,0
2024-01-01 00:30:00,67.92,69.6,151.03,32.77,17.63,0.5962,0
2024-01-01 00:31:00,42.49,55.21,181.53,42.96,16.52,0.6799,0
2024-01-01 00:32:00,82.92,64.45,473.45,41.52,17.71,3.3427,1
2024-01-01 00:33:00,38.51,56.01,223.8,33.12,16.02,1.1263,0
2024-01-01 00:34:00,52.86,60.11,171.02,27.59,19.21,0.2756,0
2024-01-01 00:35:00,58.04,65.12,206.47,24.91,6.86,0.0142,0
2024-01-01 00:36:00,45.66,55.54,287.95,27.58,14.34,0.1848,0
2024-01-01 00:37:00,38.44,67.23,199.3,34.35,8.08,0.2889,0
2024-01-01 00:38:00,38.65,51.32,172.27,23.54,16.38,0.2077,0
2024-01-01 00:39:00,53.45,61.64,193.05,36.06,23.21,0.5281,0
2024-01-01 00:40:00,54.42,66.69,203.69,47.07,12.63,0.8758,0
2024-01-01 00:41:00,52.47,64.6,193.95,29.5,15.64,0.9619,0
2024-01-01 00:42:00,40.43,74.67,198.75,19.24,18.78,0.6513,0
2024-01-01 00:43:00,49.46,53.24,142.26,19.24,4.66,1.1424,0
2024-01-01 00:44:00,48.35,48.33,161.49,36.21,12.39,0.3931,0
2024-01-01 00:45:00,49.42,51.43,194.03,29.52,16.82,0.0102,0
2024-01-01 00:46:00,56.0,64.68,193.39,37.01,1.0,0.816,0
2024-01-01 00:47:00,49.57,63.4,177.35,25.73,10.12,0.0,0
2024-01-01 00:48:00,54.17,60.24,192.92,36.64,20.5,0.2735,0
2024-01-01 00:49:00,48.1,50.46,202.44,28.73,20.01,0.656,0
2024-01-01 00:50:00,50.36,65.59,235.58,24.14,16.87,0.4693,0
2024-01-01 00:51:00,53.83,49.67,196.03,26.79,19.41,0.4427,0
2024-01-01 00:52:00,33.0,68.76,215.96,20.42,16.08,0.1458,0
2024-01-01 00:53:00,44.42,82.36,178.34,45.91,17.78,0.4968,0
2024-01-01 00:54:00,42.96,62.44,222.88,29.23,13.42,0.8011,0
2024-01-01 00:55:00,41.32,64.19,215.03,35.16,15.58,0.506,0
2024-01-01 00:56:00,45.01,55.59,234.63,25.71,11.84,0.2509,0
2024-01-01 00:57:00,62.76,45.07,228.54,21.58,21.32,0.1257,0
2024-01-01 00:58:00,39.19,54.74,223.55,28.13,22.61,0.2571,0
2024-01-01 00:59:00,57.58,50.83,196.06,38.81,21.9,0.6177,0
2024-01-01 01:00:00,31.12,48.01,209.8,25.83,12.96,0.6031,0
2024-01-01 01:01:00,44.64,73.38,242.54,23.04,10.23,0.2598,0
2024-01-01 01:02:00,49.67,61.8,173.92,31.24,21.38,0.0,0
2024-01-01 01:03:00,53.95,62.66,174.86,33.99,17.72,0.626,0
2024-01-01 01:04:00,55.24,57.17,207.26,43.14,16.64,0.2307,0
2024-01-01 01:05:00,56.11,58.27,216.61,32.83,11.83,0.7067,0
2024-01-01 01:06:00,44.74,67.38,167.04,35.15,17.13,0.2732,0
2024-01-01 01:07:00,43.65,59.41,197.01,35.75,9.57,0.2036,0
2024-01-01 01:08:00,56.9,63.93,196.24,20.78,18.17,0.546,0
2024-01-01 01:09:00,46.45,58.13,111.39,22.29,21.89,1.2073,0
2024-01-01 01:10:00,35.65,56.97,191.22,21.33,23.16,0.7247,0
2024-01-01 01:11:00,37.12,48.46,193.71,19.34,18.54,0.5409,0
2024-01-01 01:12:00,39.3,43.9,193.59,36.36,8.09,0.6077,0
2024-01-01 01:13:00,53.52,57.64,256.64,32.32,15.99,0.0,0
2024-01-01 01:14:00,50.01,60.2,151.37,30.64,25.7,0.1633,0
2024-01-01 01:15:00,55.54,49.47,167.02,9.26,10.66,0.0,0
2024-01-01 01:16:00,44.41,59.49,95.51,46.44,14.7,1.019,0
2024-01-01 01:17:00,50.31,60.2,1438.84,22.85,252.85,3.8468,1
2024-01-01 01:18:00,55.02,42.54,184.17,46.41,18.09,0.6178,0
2024-01-01 01:19:00,45.72,52.47,179.6,18.41,27.4,0.5405,0
2024-01-01 01:20:00,53.42,63.06,244.31,23.5,11.34,0.0345,0
2024-01-01 01:21:00,42.28,62.91,234.42,12.38,10.05,0.4342,0
2024-01-01 01:22:00,45.31,50.59,203.11,32.9,21.12,1.0377,0
2024-01-01 01:23:00,45.17,61.09,185.18,21.19,9.02,0.5394,0
2024-01-01 01:24:00,37.07,68.01,241.05,21.42,14.02,0.3306,0
2024-01-01 01:25:00,53.94,66.06,199.21,19.02,14.67,0.0,0
2024-01-01 01:26:00,44.42,59.09,167.27,36.22,20.18,0.9141,0
2024-01-01 01:27:00,49.29,56.11,131.35,35.69,18.07,0.479,0
2024-01-01 01:28:00,54.01,54.83,182.35,44.5,17.29,0.0,0
2024-01-01 01:29:00,53.71,63.62,230.19,24.51,12.99,0.2227,0
2024-01-01 01:30:00,55.94,61.44,291.06,31.75,21.08,0.1167,0
2024-01-01 01:31:00,48.35,64.92,202.46,19.69,35.13,0.4605,0
2024-01-01 01:32:00,45.14,60.95,169.39,27.32,18.46,0.5622,0
2024-01-01 01:33:00,48.62,66.45,152.6,25.85,15.5,0.349,0
2024-01-01 01:34:00,32.58,60.66,222.08,33.72,8.51,0.7331,0
2024-01-01 01:35:00,35.03,66.19,129.42,38.14,11.81,0.5236,0
2024-01-01 01:36:00,36.31,66.88,222.01,37.93,13.93,0.8187,0
2024-01-01 01:37:00,39.61,53.49,232.71,23.26,12.33,0.3928,0
2024-01-01 01:38:00,53.62,45.46,217.45,37.99,14.92,1.4136,0
2024-01-01 01:39:00,40.61,72.28,191.21,29.65,23.89,0.3307,0
2024-01-01 01:40:00,45.92,61.99,222.6,27.4,21.24,0.229,0
2024-01-01 01:41:00,62.74,46.23,206.84,24.33,14.21,0.1921,0
2024-01-01 01:42:00,46.22,54.24,168.88,25.52,8.96,0.4367,0
2024-01-01 01:43:00,57.2,66.13,274.02,43.94,21.69,0.0,0
2024-01-01 01:44:00,40.53,57.72,185.93,32.46,14.75,0.5884,0
2024-01-01 01:45:00,47.85,55.86,231.03,31.4,6.37,0.0,0
2024-01-01 01:46:00,40.44,71.17,103.26,27.9,18.56,0.5485,0
2024-01-01 01:47:00,46.59,51.59,251.06,49.57,20.13,0.0946,0
2024-01-01 01:48:00,58.43,53.59,258.75,40.44,2.87,0.3856,0
2024-01-01 01:49:00,32.79,61.67,201.19,24.23,10.88,0.6814,0
2024-01-01 01:50:00,54.45,63.1,222.35,27.81,14.45,1.1912,0
2024-01-01 01:51:00,52.52,63.95,222.34,28.29,18.67,0.1766,0
2024-01-01 01:52:00,44.24,67.27,174.29,31.17,12.42,0.4549,0
2024-01-01 01:53:00,35.76,61.57,221.88,24.39,10.84,0.2829,0
2024-01-01 01:54:00,50.98,63.9,167.65,33.51,18.64,0.239,0
2024-01-01 01:55:00,45.0,57.92,175.65,41.62,12.66,0.2855,0
2024-01-01 01:56:00,52.66,60.49,245.08,19.49,17.71,0.7472,0
2024-01-01 01:57:00,50.59,60.85,238.99,20.97,9.44,0.3536,0
2024-01-01 01:58:00,66.42,61.72,171.74,26.13,8.24,1.1748,0
2024-01-01 01:59:00,48.05,66.18,170.66,26.51,18.78,0.6248,0
2024-01-01 02:00:00,40.24,64.44,174.18,45.99,16.26,0.197,0
2024-01-01 02:01:00,52.31,60.35,229.31,38.01,19.61,0.39,0
2024-01-01 02:02:00,52.75,53.53,160.0,37.55,12.34,0.2594,0
2024-01-01 02:03:00,64.18,60.54,214.27,27.89,11.02,0.74,0
2024-01-01 02:04:00,58.97,59.78,229.87,27.71,21.8,0.0084,0
2024-01-01 02:05:00,54.23,61.55,196.47,18.39,7.39,0.0977,0
2024-01-01 02:06:00,65.33,77.65,240.4,36.25,21.26,0.3225,0
2024-01-01 02:07:00,38.84,55.81,187.83,33.93,21.6,0.7049,0
2024-01-01 02:08:00,44.37,63.38,191.45,40.29,19.3,0.8699,0
2024-01-01 02:09:00,41.53,68.55,160.91,28.31,11.56,0.9142,0
2024-01-01 02:10:00,46.94,60.78,240.69,28.87,10.92,0.6589,0
2024-01-01 02:11:00,37.1,78.7,169.34,31.36,13.95,0.4751,0
2024-01-01 02:12:00,57.25,56.97,213.99,37.14,8.52,0.7384,0
2024-01-01 02:13:00,48.71,62.59,197.15,18.24,10.19,0.1566,0
2024-01-01 02:14:00,36.26,53.6,157.89,35.89,18.22,0.0,0
